
=== TOP 60 PAGES � https://atlantisndt.com 90d ===
page                                                                       clk   impr   ctr%   pos
/blog/ndt-salary-guide-2026-global                                          51   9238   0.6%   5.0
/asnt-certification                                                         27   5295   0.5%   7.6
/blog/eddy-current-testing                                                   6   4072   0.1%  32.0
/blog/magnetic-particle-testing                                              5   3351   0.1%  19.2
/blog/api-653-tank-inspection-guide                                         14   3118   0.4%  15.7
/api-653-certification                                                      17   3088   0.6%  19.6
/api-570-certification                                                      23   2797   0.8%  12.5
/blog/ut-vs-rt-comparison                                                   11   2702   0.4%   6.3
/blog/ndt-salary-guide-2025-global-level-1-2-3                               6   2695   0.2%   5.4
/api-510-certification                                                      13   2499   0.5%  19.7
/blog/rt-vs-ut-complete-comparison                                          15   1898   0.8%   6.7
/blog/cwi-certification-requirements-cost-career-impact                      0   1427   0.0%   6.9
/blog/ultrasonic-testing                                                     0   1181   0.0%  51.5
/ndt-training-dubai                                                         25   1010   2.5%   8.6
/blog/ndt-technician-salary-guide-2026-industry-report                       3    919   0.3%   5.4
/blog/aerospace-composite-inspection-ndt-methods-guide                       0    888   0.0%   8.2
/blog/eddy-current-testing-complete-guide                                    6    845   0.7%  12.6
/blog/iso-9712-vs-asnt-snt-tc-1a-certification-comparison                   17    779   2.2%   4.6
/training-me                                                                13    779   1.7%  10.7
/blog/asnt-snt-tc-1a-vs-cp-189-comparison                                   12    745   1.6%   5.6
/                                                                           84    682  12.3%   5.9
/blog/heat-exchanger-tube-inspection-methods-procedures                      2    637   0.3%  18.0
/blog/visual-testing                                                         4    607   0.7%  12.5
/blog/asnt-snt-tc-1a-certification-requirements                              7    563   1.2%   7.5
/resources                                                                  17    540   3.1%   5.5
/blog/wind-turbine-blade-inspection-and-monitoring                           0    534   0.0%  26.8
/ultrasonic-testing-chicago                                                  4    393   1.0%  37.6
/blog/api-579-fitness-for-service-guide                                      1    387   0.3%   7.6
/ndt-technician-salary                                                       0    378   0.0%   5.3
/blog/asme-section-v-article-4-ut-requirements-explained                     2    375   0.5%   6.2
/blog/asme-b31-3-process-piping-requirements                                 5    364   1.4%   7.7
/blog/phased-array-ultrasonic-testing-paut-guide                             0    357   0.0%  35.5
/blog/aws-d1-1-weld-acceptance-criteria-comprehensive-guide                  2    356   0.6%   6.7
/blog/pipe-wall-thickness-inspection-ut-procedures                           4    354   1.1%  11.4
/digital-twins                                                               4    336   1.2%  11.4
/blog/automated-ut-aut-systems-complete-overview                             3    335   0.9%  12.4
/ndt-connect                                                                 3    312   1.0%  23.7
/blog/underwater-infrastructure-inspection-techniques                        2    307   0.7%  37.6
/blog/api-617-centrifugal-compressor-inspection                              2    294   0.7%   7.7
/consulting                                                                  2    290   0.7%  21.8
/blog/ndt-procedure-writing-guide-asme-section-v                             2    284   0.7%   5.9
/blog/shear-wave-ut-for-thick-section-inspection                             2    284   0.7%  13.0
/blog/weld-inspection-acceptance-criteria-aws-vs-asme                        0    284   0.0%   6.5
/blog/ndt-training-complete-guide-courses-certification-global               0    282   0.0%  27.3
/blog/risk-based-inspection-rbi-implementation-guide                         0    263   0.0%   7.1
/blog/forging-defect-detection-and-assessment                                2    257   0.8%   8.3
/training-usa                                                                0    252   0.0%  15.9
/blog/ndt-level-iii-certification-requirements-guide                         1    250   0.4%   8.2
/blog/phased-array-ultrasonic-testing-complete-technical-guide               0    246   0.0%  29.2
/blog/ultrasonic-thickness-measurement-corrosion-monitoring-guide            1    241   0.4%  24.3
/training                                                                    4    233   1.7%   6.6
